1,"MidFirst Bank(Oklahoma City, OK)Type: Certificate of Deposit, Checking, Savings,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
2,Daugher 529 AccountInstitution: TIAA CREF,Education Savings Plans529 College Savings Plan,Joint,,,
2.1,Conservative Managed Allocation Ages 18+,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3,Personal IRA,Retirement PlansIRA,Self,,,
3.1,IVV - iShares Core S&P 500,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,",None (or less than $201)
3.2,SCHF - Schwab Intl Equity ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
3.3,IJH,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.4,OAYLX - Oakmark Select Fund Advisor Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.5,PFPMX,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.6,EZU,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.7,VWO - FTSE EM ETF Vanguard,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.8,NFFFX - New World Fund Inc. Class F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.9,FMIYX,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.10,GICIX,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.11,IJR - S&P Smallcap Ishares Core ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.12,VLUE - USA Value Factor Ishares Edge MSCI ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.13,CSDIX - Cohen & Steers Real Estate Securities Fund Inc.,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.14,BCSSX,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.15,PCLPX - Pimco Commoditiesplus Strategy Fund Class I-2,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.16,IAU,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
4,"James and Cindy Mutual FundDescription: InvestmentsÂ (Oklahoma City, OK)",Investment FundInvestment Club,Joint,,,
4.1,IVV - iShares Core S&P 500,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
5,Cindy IRA,Retirement PlansIRA,Spouse,,,
5.1,IVV - iShares Core S&P 500,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Dividends,",None (or less than $201)
6,Cindy ROTH IRA,Retirement PlansIRA,Spouse,,,
6.1,IVV - iShares Core S&P 500,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
7,DVN - Devon Energy Corporation Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
8,"PECO - Phillips Edison & Company, Inc. - Common Stock",Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
